cod_cbo,nom_cbo
201105,Bioengenheiro
202105,Engenheiro mecatrônico
202110,Engenheiro de controle e automação
212205,Engenheiro de aplicativos em computação
212210,Engenheiro de equipamentos em computação
212215,Engenheiros de sistemas operacionais em computação
214005,Engenheiro ambiental
214205,Engenheiro civil
214210,Engenheiro civil (aeroportos)
214215,Engenheiro civil (edificações)
214220,Engenheiro civil (estruturas metálicas)
214225,Engenheiro civil (ferrovias e metrovias)
214230,Engenheiro civil (geotécnia)
214235,Engenheiro civil (hidrologia)
214240,Engenheiro civil (hidráulica)
214245,Engenheiro civil (pontes e viadutos)
214250,Engenheiro civil (portos e vias navegáveis)
214255,Engenheiro civil (rodovias)
214260,Engenheiro civil (saneamento)
214265,Engenheiro civil (túneis)
214270,Engenheiro civil (transportes e trânsito)
214305,Engenheiro eletricista
214310,Engenheiro eletrônico
214315,Engenheiro eletricista de manutenção
214320,Engenheiro eletricista de projetos
214325,Engenheiro eletrônico de manutenção
214330,Engenheiro eletrônico de projetos
214335,Engenheiro de manutenção de telecomunicações
214340,Engenheiro de telecomunicações
214345,Engenheiro projetista de telecomunicações
214350,Engenheiro de redes de comunicação
214405,Engenheiro mecânico
214410,Engenheiro mecânico automotivo
214415,Engenheiro mecânico (energia nuclear)
214420,Engenheiro mecânico industrial
214425,Engenheiro aeronáutico
214430,Engenheiro naval
214505,Engenheiro químico
214510,Engenheiro químico (indústria química)
214515,"Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica)"
214520,Engenheiro químico (papel e celulose)
214525,Engenheiro químico (petróleo e borracha)
214530,Engenheiro químico (utilidades e meio ambiente)
214605,Engenheiro de materiais
214610,Engenheiro metalurgista
214705,Engenheiro de minas
214710,Engenheiro de minas (beneficiamento)
214715,Engenheiro de minas (lavra a céu aberto)
214720,Engenheiro de minas (lavra subterrânea)
214725,Engenheiro de minas (pesquisa mineral)
214730,Engenheiro de minas (planejamento)
214735,Engenheiro de minas (processo)
214740,Engenheiro de minas (projeto)
214805,Engenheiro agrimensor
214810,Engenheiro cartógrafo
214905,Engenheiro de produção
214910,Engenheiro de controle de qualidade
214915,Engenheiro de segurança do trabalho
214920,Engenheiro de riscos
214925,Engenheiro de tempos e movimentos
222105,Engenheiro agrícola
222110,Engenheiro agrônomo
222115,Engenheiro de pesca
222120,Engenheiro florestal
222205,Engenheiro de alimentos
