cod_cbo,nom_cbo
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992225,Auxiliar geral de conservação de vias permanentes (exceto trilhos)
992226,null
992226,null
992226,null
992227,Lucas
992227,Lucas
992227,Lucas
992227,Lucas
